,,PROGRESSIVO,,,,,,,,,,AGOSTO,,,,,,,,,,PREVISIONI DI FINE ANNO,,,,,,,,,,,,
Servizi amministrativi contabilità,,12.617 ,,"5,5%",11.156 ,,,1.460 ,"13,1%",,,1.026 ,,,818 ,,,208 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi amministrativi contabilità,Servizi contabili e paghe
Servizi amministrativi paghe,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi amministrativi paghe,Servizi contabili e paghe
Consulenze tecniche,,29.150 ,,"12,6%",49.865 ,,,-20.715 ,"-41,5%",,,2.296 ,,,2.596 ,,,-300 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Consulenze tecniche,Consulenze tecniche
Consulenze legali,,1.794 ,,"0,8%",0 ,,,1.794 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Consulenze legali,Consulenze legali
Locazioni e noleggi,,7.133 ,,"3,1%",4.150 ,,,2.983 ,"71,9%",,,624 ,,,510 ,,,114 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Locazioni e noleggi,Altre spese di funzionamento
Servizi indeducibili,,1.052 ,,"0,5%",4.797 ,,,-3.745 ,"-78,1%",,,95 ,,,63 ,,,32 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Servizi indeducibili,Altre spese di funzionamento
Utili e perdite su cambi,,513 ,,"0,2%",139 ,,,375 ,"270,3%",,,0 ,,,26 ,,,-26 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Utili e perdite su cambi,Altre spese di funzionamento
Perdite su crediti,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Perdite su crediti,Altre spese di funzionamento
Licenze d'uso,,0 ,,"0,0%",1.365 ,,,-1.365 ,"-100,0%",,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Licenze d'uso,Altre spese di funzionamento
Utenze telefoniche e cellulari,,226 ,,"0,1%",1.223 ,,,-997 ,"-81,6%",,,31 ,,,111 ,,,-80 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Utenze telefoniche e cellulari,Altre spese di funzionamento
Altri oneri,,3.288 ,,"1,4%",1.211 ,,,2.077 ,"171,5%",,,0 ,,,24 ,,,-24 ,,,,,,,,,,,,,,,Altri oneri,Altre spese di funzionamento
Abbuoni e arrotondamenti,,12 ,,"0,0%",2 ,,,10 ,"502,9%",,,0 ,,,1 ,,,-1 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Abbuoni e arrotondamenti,Altre spese di funzionamento
SPESE DI STRUTTURA,,220.189 ,,95%,171.501 ,,393%,48.687 ,"28,4%",,,19.393 ,,1753%,15.269 ,,132%,4.123 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
TOTALE GESTIONE STRUTTURA E NON TIPICA,,235.468 ,,102%,184.663 ,,423%,50.805 ,"27,5%",,,19.701 ,,-1781%,15.357 ,,133%,4.344 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
