,,PROGRESSIVO,,,,,,,,,,LUGLIO,,,,,,,,,,PREVISIONI DI FINE ANNO,,,,,,,,,,,,
Ammortamenti immateriali,,30.111 ,,"13,1%",4.929 ,,,25.182 ,"510,9%",,,4.409 ,,,4.929 ,,,-520 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Ammortamenti immateriali,Ammortamenti e svalutazioni
Ammortamenti materiali,,498 ,,"0,2%",248 ,,,250 ,"100,6%",,,73 ,,,248 ,,,-175 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Ammortamenti materiali,Ammortamenti e svalutazioni
Svalutazioni e accantonamenti,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Svalutazioni e accantonamenti,Ammortamenti e svalutazioni
"AMMORTAMENTI, ACCANT. SVALUTAZIONI",,30.609 ,,"13,3%",5.177 ,,,25.432 ,"491,2%",,,4.482 ,,10%,5.177 ,,n/a,-695 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
Plusvalenze e minusvalenze straordinarie,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Plusvalenze e minusvalenze straordinarie,Gestione straordinaria
Altri proventi/costi straordinari,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri proventi/costi straordinari,Gestione straordinaria
GESTIONE STRAORDINARIA,,0 ,,,0 ,,,0 ,,,,0 ,,0%,0 ,,n/a,0 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
EBIT,,-30.670 ,,-13%,-149.370 ,,-466%,118.700 ,"-79,5%",,,18.089 ,,41%,-25.451 ,,n/a,44.040 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,#ERROR!,,,,
Spese e commissioni bancarie,,195 ,,"0,1%",273 ,,,-78 ,"-28,7%",,,55 ,,,71 ,,,-16 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Spese e commissioni bancarie,Gestione finanziaria
Interessi passivi su mutui,,1.044 ,,"0,5%",1.291 ,,,-246 ,"-19,1%",,,131 ,,,244 ,,,-113 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Interessi passivi su mutui,Gestione finanziaria
Altri interessi,,176 ,,"0,1%",636 ,,,-460 ,"-72,3%",,,70 ,,,11 ,,,60 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri interessi,Gestione finanziaria
GESTIONE FINANZIARIA,,1.415 ,,"0,6%",2.199 ,,7%,-785 ,"-35,7%",,,257 ,,1%,326 ,,n/a,-69 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
EBT,,-32.085 ,,"-13,9%",-151.570 ,,-473%,119.485 ,"-78,8%",,,17.832 ,,41%,-25.777 ,,n/a,44.109 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,#ERROR!,,,,
Imposte dirette,,0 ,,,0 ,,,0 ,,,,0 ,,0%,0 ,,n/a,0 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,n/a,,,Imposte dirette,Imposte
RISULTATO DELL'ESERCIZIO,,-32.085 ,,-14%,-151.570 ,,-473%,119.485 ,,,,17.832 ,,41%,-25.777 ,,n/a,44.109 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,n/a,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,#ERROR!,,,#REF!,,,#ERROR!,,,,,,
