,,PROGRESSIVO,,,,,,,,,,MAGGIO,,,,,,,,,,PREVISIONI DI FINE ANNO,,,,,,,,,,,,
Plusvalenze e minusvalenze straordinarie,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Plusvalenze e minusvalenze straordinarie,Gestione straordinaria
Altri proventi/costi straordinari,,0 ,,"0,0%",0 ,,,0 ,#DIV/0!,,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri proventi/costi straordinari,Gestione straordinaria
GESTIONE STRAORDINARIA,,0 ,,,0 ,,,0 ,,,,0 ,,0%,0 ,,0%,0 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
EBIT,,-40.951 ,,-25%,-127.937 ,,-6388%,86.986 ,"-68,0%",,,-8.536 ,,-46%,-17.912 ,,-1008%,9.126 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,#ERROR!,,,,
Spese e commissioni bancarie,,133 ,,"0,1%",193 ,,,-60 ,"-30,9%",,,10 ,,,10 ,,,-0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Spese e commissioni bancarie,Gestione finanziaria
Interessi passivi su mutui,,773 ,,"0,5%",795 ,,,-22 ,"-2,8%",,,148 ,,,258 ,,,-110 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Interessi passivi su mutui,Gestione finanziaria
Altri interessi,,57 ,,"0,0%",625 ,,,-568 ,"-90,8%",,,0 ,,,0 ,,,0 ,,,,#ERROR!,,,  -   ,,,#ERROR!,,,,,Altri interessi,Gestione finanziaria
GESTIONE FINANZIARIA,,963 ,,"0,6%",1.613 ,,81%,-649 ,"-40,3%",,,158 ,,1%,268 ,,15%,-110 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,#ERROR!,,,,
EBT,,-41.914 ,,"-26,0%",-129.550 ,,-6468%,87.635 ,"-67,6%",,,-8.694 ,,-47%,-18.180 ,,-1023%,9.236 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,#ERROR!,,,,
Imposte dirette,,0 ,,,0 ,,,0 ,,,,0 ,,0%,0 ,,0%,0 ,,,,#ERROR!,,#ERROR!,  -   ,,n/a,#ERROR!,,n/a,,,Imposte dirette,Imposte
RISULTATO DELL'ESERCIZIO,,-41.914 ,,-26%,-129.550 ,,-6468%,87.635 ,,,,-8.694 ,,-47%,-18.180 ,,-1023%,9.236 ,,,,#ERROR!,,#ERROR!,#REF!,,n/a,#ERROR!,,n/a,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,#ERROR!,,,#REF!,,,#ERROR!,,,,,,
